page,person,count
1,Amma,2
2,Dominique,1
2,Amma,1
3,Yazz,2
3,Amma,1
4,Amma,1
5,Amma,3
5,Simone,4
6,Amma,3
6,Dominique,3
7,Dominique,4
7,Cecilia,1
7,Amma,1
7,Wintley,1
8,Dominique,1
8,Amma,2
9,Dominique,1
9,Amma,1
9,Kwabena,1
9,Helen,4
10,Helen,2
10,Kwabena,1
10,Amma,2
11,Helen,2
12,Kwabena,2
12,Helen,1
12,Amma,2
12,Elaine,2
13,Amma,3
13,Elaine,2
13,Dominique,1
14,Dominique,2
15,Amma,2
15,Dominique,2
16,Amma,1
18,Amma,1
19,Amma,5
19,Maryse,1
20,Amma,3
20,Dominique,2
21,Amma,2
22,Amma,3
22,Yazz,2
22,Dolores,1
22,Jackie,1
22,Dominique,1
23,Amma,1
23,Yazz,1
23,Bob,1
24,Amma,1
24,Nawi,1
25,Amma,2
25,Nawi,2
25,Dominique,1
26,Dominique,2
26,Amma,5
26,Shirley,3
27,Shirley,12
27,Amma,9
27,Erol,1
27,Tony,1
27,Yazz,2
28,Mabel,1
28,Olive,1
28,Katrina,1
28,Kirsty,1
28,Lakshmi,2
28,Amma,1
29,Lakshmi,1
29,Amma,1
29,Georgie,2
30,Georgie,4
30,Amma,5
30,Sylvester,1
31,Amma,1
31,Sylvester,1
31,Curwen,2
32,Sylvester,4
32,Amma,2
32,Curwen,1
33,Amma,3
33,Sylvester,2
34,Sylvester,1
34,Amma,3
34,Jack Staniforth,1
34,Jonathan,1
35,Amma,3
35,Helen,1
36,Yazz,4
36,Amma,2
36,Shirley,1
36,Roland,2
37,Yazz,3
37,Marissa,1
38,Amma,5
38,Yazz,4
39,Yazz,4
39,Amma,5
39,Morgan Malenga,1
40,Amma,1
40,Yazz,2
